1	1	Věra	Procházková	Strana zdravého rozumu	Rozumní	
1	2	Josef	Pavel	Občanská demokratická strana	ODS	#1C76F0
1	3	Jaroslav	Žák	Doktoři (za uzdravení společnosti)	Doktoři	
1	4	Jiří	Kotek	ALTERNATIVA	ALTER	
1	5	Ivan	Poustka	Victoria.cz	Victoria	
1	6	Jan	Horník	STAROSTOVÉ A NEZÁVISLÍ	STAN	
1	7	František	Weiss	Věci veřejné	VV	#66E2D8
1	8	Jaroslav	Borka	Komunistická strana Čech a Moravy	KSČM	#F40000
1	9	Jaroslav	Rovný	Česká strana národně sociální	ČSNS	
1	10	Jiří	Vyvadil	Česká strana sociálně demokratická	ČSSD	#FEA201
4	1	Sáša	Štembera	TOP 09	TOP 09	#B560F3
4	2	Vlastimil	Balín	"Občané městu, město občanům"	OMMO	
4	3	Tomáš	Vandas	Dělnická strana sociální spravedlnosti	DSSS	#B55E01
4	4	Alena	Dernerová	Severočeši.cz	S.cz	
4	5	Vlastimil	Doležal	Věci veřejné	VV	#66E2D8
4	6	Václav	Hofmann	Občanská demokratická strana	ODS	#1C76F0
4	7	Zdeněk	Brabec	Česká strana sociálně demokratická	ČSSD	#FEA201
4	8	Josef	Nétek	Komunistická strana Čech a Moravy	KSČM	#F40000
7	1	Dagmar	Terelmešová	Česká strana sociálně demokratická	ČSSD	#FEA201
7	2	Karel	Kvit	Komunistická strana Čech a Moravy	KSČM	#F40000
7	3	Oldřich	Kodeda	Koruna Česká (monarch.str.Čech, Moravy a Slezska)	KČ	
7	4	Richard	Sequens	Strana zelených	SZ	#0FB103
7	5	Jan	Kůrka	Strana Práv Občanů	SPO	
7	6	František	Pillmann	Strana zdravého rozumu	Rozumní	
7	7	Pavel	Čížek	TOP 09	TOP 09	#B560F3
7	8	Jiří	Šneberger	Občanská demokratická strana	ODS	#1C76F0
10	1	Luboš	Dvořák	Komunistická strana Čech a Moravy	KSČM	#F40000
10	2	Vladimír	Špidla	Česká strana sociálně demokratická	ČSSD	#FEA201
10	3	Tomáš	Jirsa	Občanská demokratická strana	ODS	#1C76F0
10	4	Roman	Bureš	Strana zdravého rozumu	Rozumní	
10	5	Bohumil	Bezemek	Strana Práv Občanů	SPO	
